fold,held_patient,ligand,receptor,ligand_receptor_pair,Receiver,Sender,pair_importance
3,P11,CD274,PDCD1,CD274 → PDCD1,0.0022570165912423963,9.858654782491768e-05,0.002355603139067314
3,P11,CD40LG,CD40,CD40LG → CD40,8.355964477938558e-06,2.4736427595465015e-06,1.082960723748506e-05
3,P11,CD86,CD28,CD86 → CD28,0.0004411250896121092,4.017239783973818e-05,0.0004812974874518474
3,P11,CD86,CTLA4,CD86 → CTLA4,0.0032018217098822867,2.3609175899516968e-05,0.003225430885781804
3,P11,CSF1,CSF1R,CSF1 → CSF1R,0.001206692264314884,0.0004160681992240333,0.0016227604635389173
3,P11,CXCL13,CXCR5,CXCL13 → CXCR5,2.911830064252102e-05,0.0001548362190802263,0.00018395451972274732
3,P11,CXCL16,CXCR6,CXCL16 → CXCR6,0.0004965545326686572,0.00041155228233099076,0.000908106814999648
3,P11,CXCL2,DPP4,CXCL2 → DPP4,1.6717187505982793e-05,0.00011397351497172134,0.00013069070247770414
3,P11,FASLG,FAS,FASLG → FAS,0.00019997481729737876,6.24352143183561e-06,0.00020621833872921437
3,P11,HLA-B,KIR3DL2,HLA-B → KIR3DL2,9.112519505221077e-06,0.013681998176936801,0.013691110696442021
3,P11,HLA-C,KIR2DL3,HLA-C → KIR2DL3,5.269498810439397e-06,0.019288381019336016,0.019293650518146455
3,P11,HLA-E,KLRC1,HLA-E → KLRC1,1.8085933908453156e-05,0.00994295816304948,0.009961044096957933
3,P11,HLA-E,KLRC2,HLA-E → KLRC2,5.98476838141146e-05,0.028297648380903078,0.028357496064717193
3,P11,HLA-E,KLRK1,HLA-E → KLRK1,0.0003002191303218745,0.00564341298211092,0.005943632112432795
3,P11,HLA-F,KIR3DL2,HLA-F → KIR3DL2,4.658264719133226e-05,0.006127696170564622,0.006174278817755954
3,P11,HLA-F,LILRB1,HLA-F → LILRB1,0.00029168897486118604,0.0019863664790830274,0.0022780554539442136
3,P11,HLA-F,LILRB2,HLA-F → LILRB2,0.00023910040935348471,0.04553089674831148,0.045769997157664964
3,P11,HLA-G,LILRB1,HLA-G → LILRB1,5.69057726931626e-05,0.00485856615615112,0.004915471928844282
3,P11,HLA-G,LILRB2,HLA-G → LILRB2,0.00039997681667131404,0.03105592442634896,0.03145590124302028
3,P11,ICAM1,ITGAL,ICAM1 → ITGAL,0.007197999962437251,0.00013070462681557854,0.007328704589252829
3,P11,ICOSLG,ICOS,ICOSLG → ICOS,0.0005327699644670427,2.2098603482923843e-06,0.000534979824815335
3,P11,LGALS9,HAVCR2,LGALS9 → HAVCR2,0.004534105341719178,0.007248250885198502,0.01178235622691768
3,P11,LGALS9,P4HB,LGALS9 → P4HB,0.010723204281661373,0.0029538908955416216,0.013677095177202996
3,P11,LTA,TNFRSF14,LTA → TNFRSF14,0.0008484004148328064,7.575640599872839e-06,0.0008559760554326792
3,P11,LTA,TNFRSF1A,LTA → TNFRSF1A,0.00017102475173976005,2.8355165685139503e-05,0.00019937991742489955
3,P11,LTA,TNFRSF1B,LTA → TNFRSF1B,0.003000411803778092,2.4628123482308964e-06,0.0030028746161263227
3,P11,LTB,LTBR,LTB → LTBR,5.614670704803651e-05,0.0006402216402386776,0.0006963683472867141
3,P11,PVR,CD226,PVR → CD226,2.5313333676096387e-05,5.810213100613504e-06,3.1123546776709894e-05
3,P11,PVR,CD96,PVR → CD96,0.0037350211061427884,5.810668715927974e-06,0.0037408317748587163
3,P11,PVR,TIGIT,PVR → TIGIT,0.0035034387805743684,1.0621898407649427e-06,0.0035045009704151335
3,P11,SELPLG,SELL,SELPLG → SELL,0.0004796842716996023,0.0009943079257833292,0.0014739921974829314
3,P11,TGFB1,TGFBR3,TGFB1 → TGFBR3,0.00026235710198641227,4.605386938912157e-05,0.00030841097137553384
3,P11,TNF,TNFRSF1A,TNF → TNFRSF1A,0.0014223340666344383,0.0007522729636360987,0.0021746070302705372
3,P11,TNF,TNFRSF1B,TNF → TNFRSF1B,0.0027845358850503363,0.00017503852650144875,0.0029595744115517852
3,P11,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A,4.554979615072186e-05,0.00011660317108933352,0.00016215296724005537
3,P11,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B,0.00022685689289586299,0.0001229568965020789,0.0003498137893979419
3,P11,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D,2.9894310366683594e-06,4.444690209069418e-05,4.743633312736254e-05
3,P11,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A,6.249591578239678e-06,3.420676508239115e-05,4.0456356660630825e-05
3,P11,TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25,3.585275773045518e-05,0.00011372217950884544,0.00014957493723930063
3,P11,TNFSF14,LTBR,TNFSF14 → LTBR,0.00038628097403038133,0.00016365951666954116,0.0005499404906999225
3,P11,TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14,0.0032690982975490204,8.610489487015957e-06,0.0032777087870360364
3,P11,TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4,0.00028722748577067865,1.1766084839905953e-06,0.00028840409425466925
3,P11,TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9,0.00017097751379920566,0.0002282376789632937,0.0003992151927624994
3,P11,VEGFA,NRP1,VEGFA → NRP1,0.0006488622782454405,7.388518129463323e-06,0.0006562507963749039
3,P11,VEGFA,NRP2,VEGFA → NRP2,2.7683036661371048e-05,6.3321491726506526e-06,3.40151858340217e-05
3,P11,VEGFB,NRP1,VEGFB → NRP1,9.910966849113681e-06,7.030386602237559e-06,1.694135345135124e-05
4,P12,BTLA,TNFRSF14,BTLA → TNFRSF14,0.0032246249651460388,3.1546932642141046e-05,0.0032561718977881797
4,P12,CCL2,CCR2,CCL2 → CCR2,0.00010419347408340477,1.0395656832078634e-05,0.0001145891309154834
4,P12,CCL3,CCR1,CCL3 → CCR1,0.0007604948355163436,0.0117840813342344,0.012544576169750745
4,P12,CCL3,CCR5,CCL3 → CCR5,0.007969725491984757,0.006058874357168915,0.014028599849153672
4,P12,CCL3L1,CCR1,CCL3L1 → CCR1,0.001369043669072193,0.0006684118646984742,0.002037455533770667
4,P12,CCL4,CCR5,CCL4 → CCR5,0.004598672044638089,0.007724912617044176,0.012323584661682265
4,P12,CCL5,CCR1,CCL5 → CCR1,0.00018365110338353977,0.07208007826173946,0.072263729365123
4,P12,CCL5,CCR4,CCL5 → CCR4,5.717201085317441e-05,0.015322390039925334,0.015379562050778508
4,P12,CCL5,CCR5,CCL5 → CCR5,0.001139193594808023,0.020655746105097843,0.021794939699905865
4,P12,CD274,PDCD1,CD274 → PDCD1,0.0037472885590598124,2.5753080931304222e-05,0.0037730416399911165
4,P12,CD40LG,CD40,CD40LG → CD40,1.5084674938800641e-05,1.1744579596981054e-05,2.6829254535781697e-05
4,P12,CD86,CD28,CD86 → CD28,0.0008204096566763054,0.00017606341388396682,0.0009964730705602721
4,P12,CD86,CTLA4,CD86 → CTLA4,0.0027718707265784953,0.000518869314705075,0.00329074004128357
4,P12,CSF1,CSF1R,CSF1 → CSF1R,0.0012951879028774975,0.0001174929034629802,0.0014126808063404778
4,P12,CXCL13,CXCR5,CXCL13 → CXCR5,0.000139646652235647,0.0005676658677961648,0.0007073125200318118
4,P12,CXCL16,CXCR6,CXCL16 → CXCR6,0.0007154730650919269,0.0008389785993819672,0.001554451664473894
4,P12,CXCL2,DPP4,CXCL2 → DPP4,8.645562103765947e-05,0.00034208343803160765,0.00042853905906926713
4,P12,FASLG,FAS,FASLG → FAS,0.0011669704138684866,0.00010291449589937778,0.0012698849097678643
4,P12,HLA-B,KIR3DL2,HLA-B → KIR3DL2,2.0547978584872425e-05,0.03909103928990492,0.039111587268489796
4,P12,HLA-C,KIR2DL3,HLA-C → KIR2DL3,4.991747187176494e-05,0.02767694555694725,0.027726863028819014
4,P12,HLA-E,KLRC1,HLA-E → KLRC1,0.00011464924567827733,0.013782805310086571,0.013897454555764849
4,P12,HLA-E,KLRC2,HLA-E → KLRC2,5.533050863132458e-05,0.021772227310203042,0.021827557818834366
4,P12,HLA-E,KLRK1,HLA-E → KLRK1,0.0011656867363381098,0.0109779513481399,0.01214363808447801
4,P12,HLA-F,KIR3DL2,HLA-F → KIR3DL2,3.4971674108440815e-05,0.01150218818255917,0.01153715985666761
4,P12,HLA-F,LILRB1,HLA-F → LILRB1,8.504165891683288e-05,0.00936807104449689,0.009453112703413723
4,P12,HLA-F,LILRB2,HLA-F → LILRB2,0.0005415353757095543,0.03595680483832252,0.036498340214032074
4,P12,HLA-G,LILRB1,HLA-G → LILRB1,0.00015715823084325357,0.006826275276718425,0.006983433507561678
4,P12,HLA-G,LILRB2,HLA-G → LILRB2,0.0005013432709409308,0.020765113155400212,0.021266456426341142
4,P12,ICAM1,ITGAL,ICAM1 → ITGAL,0.004936756786658785,0.0002953691033727137,0.005232125890031498
4,P12,ICOSLG,ICOS,ICOSLG → ICOS,0.0005948858048912382,2.6183895969916243e-05,0.0006210697008611544
4,P12,LGALS9,HAVCR2,LGALS9 → HAVCR2,0.00846404730017668,0.009600429727414312,0.01806447702759099
4,P12,LGALS9,P4HB,LGALS9 → P4HB,0.02614237461270494,0.005104575794529398,0.031246950407234336
4,P12,LTA,TNFRSF14,LTA → TNFRSF14,0.0011412248123039849,4.2791224608109934e-05,0.0011840160369120949
4,P12,LTA,TNFRSF1A,LTA → TNFRSF1A,0.00010926411267771751,2.83891501431778e-05,0.00013765326282089531
4,P12,LTA,TNFRSF1B,LTA → TNFRSF1B,0.0040078104080797355,4.346774990661824e-05,0.004051278157986353
4,P12,LTB,LTBR,LTB → LTBR,5.159317250790455e-05,0.0031623064844381343,0.003213899656946039
4,P12,PVR,CD226,PVR → CD226,1.5113232701202946e-05,7.184986351089131e-06,2.2298219052292075e-05
4,P12,PVR,CD96,PVR → CD96,0.008032824607796347,0.0,0.008032824607796347
4,P12,PVR,TIGIT,PVR → TIGIT,0.007477803849561908,2.696156177561348e-06,0.007480500005739469
4,P12,SELPLG,SELL,SELPLG → SELL,0.0007050741796981196,0.0027749096610466856,0.0034799838407448052
4,P12,TGFB1,TGFBR3,TGFB1 → TGFBR3,0.000349660715842114,0.00012915354811853322,0.0004788142639606472
4,P12,TNF,TNFRSF1A,TNF → TNFRSF1A,0.0007941816261154639,0.0010144949245749798,0.0018086765506904437
4,P12,TNF,TNFRSF1B,TNF → TNFRSF1B,0.0025291405303989795,0.00019432051866919483,0.0027234610490681744
4,P12,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A,3.181355738355172e-05,0.0001144052930966436,0.00014621885048019532
4,P12,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B,3.721144676712437e-05,0.0002219509636884578,0.0002591624104555822
4,P12,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D,4.3640255442539205e-06,0.0001005318581714505,0.00010489588371570442
4,P12,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A,0.0,1.480537194926177e-05,1.480537194926177e-05
4,P12,TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25,0.0003055144080735036,7.661846488649186e-05,0.00038213287295999545
4,P12,TNFSF14,LTBR,TNFSF14 → LTBR,0.0008811800208476654,4.0328478703861196e-05,0.0009215084995515266
4,P12,TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14,0.002836536957702504,6.381299066705417e-05,0.002900349948369558
4,P12,TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4,0.0008327506230676556,8.52477377896796e-06,0.0008412753968466235
4,P12,TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9,0.0003533831725441694,0.00010848122552911873,0.0004618643980732881
4,P12,VEGFA,NRP1,VEGFA → NRP1,0.0004407371729971386,3.5918334887812655e-05,0.00047665550788495125
4,P12,VEGFA,NRP2,VEGFA → NRP2,5.70435468305477e-05,1.4710422068590096e-05,7.175396889913779e-05
4,P12,VEGFB,NRP1,VEGFB → NRP1,0.00010111161118409318,1.787932319103461e-05,0.00011899093437512779
5,P13,BTLA,TNFRSF14,BTLA → TNFRSF14,0.001852260943845735,1.784435668771535e-05,0.0018701053005334503
5,P13,CCL2,CCR2,CCL2 → CCR2,0.00011414688925162707,1.9319030109866174e-06,0.00011607879226261369
5,P13,CCL3,CCR1,CCL3 → CCR1,0.00013373575186065675,0.0094325412127935,0.009566276964654157
5,P13,CCL3,CCR5,CCL3 → CCR5,0.00555557002168067,0.006219052862445578,0.011774622884126248
5,P13,CCL3L1,CCR1,CCL3L1 → CCR1,0.0006474163133186919,0.00033166855478523465,0.0009790848681039265
5,P13,CCL4,CCR5,CCL4 → CCR5,0.0019023276355572512,0.008412990015397517,0.010315317650954768
5,P13,CCL5,CCR1,CCL5 → CCR1,6.83124795111973e-05,0.07830860433786074,0.07837691681737194
5,P13,CCL5,CCR4,CCL5 → CCR4,1.5097024268589791e-06,0.01892700705584767,0.01892851675827453
5,P13,CCL5,CCR5,CCL5 → CCR5,0.000571077726339441,0.0225250177082438,0.023096095434583238
5,P13,CD274,PDCD1,CD274 → PDCD1,0.0021206882160829726,3.753507196057965e-05,0.0021582232880435525
5,P13,CD40LG,CD40,CD40LG → CD40,4.906358367666561e-05,0.00011934113619066429,0.0001684047198673299
5,P13,CD86,CD28,CD86 → CD28,0.0007699166967549344,1.62918985676564e-05,0.0007862085953225907
5,P13,CD86,CTLA4,CD86 → CTLA4,0.0019653128732693786,0.00042005199017626374,0.0023853648634456423
5,P13,CSF1,CSF1R,CSF1 → CSF1R,0.0006152270813320773,8.09380228273886e-05,0.0006961651041594659
5,P13,CXCL13,CXCR5,CXCL13 → CXCR5,0.0004667537703515237,0.0023007499553278524,0.002767503725679376
5,P13,CXCL16,CXCR6,CXCL16 → CXCR6,0.00011038212866327883,0.00022142637577678912,0.00033180850444006796
5,P13,CXCL2,DPP4,CXCL2 → DPP4,6.444031015649167e-06,0.00013950827462492173,0.0001459523056405709
5,P13,FASLG,FAS,FASLG → FAS,0.0004309781609296981,1.4237816683945464e-05,0.0004452159776136436
