feature,feature_value_scaled,shap_value,fold,held_patient
PROGENy_TGFb,1.5005343237295268,0.06409155752189077,1,P1
PROGENy_TGFb,1.923471110287145,0.08157317946236183,1,P1
PROGENy_TGFb,2.048409476372608,0.08673736794438852,1,P1
PROGENy_TGFb,1.0191419597680846,0.04419373926801066,1,P1
PROGENy_TGFb,1.7755684339358195,0.07545978674237086,1,P1
PROGENy_TGFb,2.0483234309812812,0.08673381135378515,1,P1
PROGENy_TGFb,2.6868777141511506,0.11312774283868185,1,P1
PROGENy_TGFb,-1.0336163711021378,-0.04065474451488866,1,P1
PROGENy_TGFb,-0.05720671199725874,-0.00029593662204457336,1,P1
PROGENy_TGFb,-0.8812467617220323,-0.03435671608354677,1,P1
PROGENy_TGFb,2.1361620505780423,0.09036452305437219,1,P1
PROGENy_TGFb,-1.3386348685137903,-0.05326234505018669,1,P1
PROGENy_TGFb,-0.3229202705802242,-0.011278911201797264,1,P1
PROGENy_TGFb,-0.4240256803061975,-0.015457990925157055,1,P1
PROGENy_TGFb,0.850081072027681,0.0372057953994876,1,P1
PROGENy_TGFb,-1.4312957836287654,-0.05709238097560836,1,P1
PROGENy_TGFb,-0.06859660472982922,-0.0007667251772656734,1,P1
PROGENy_TGFb,-0.8702996823814015,-0.03390423072765499,1,P1
PROGENy_TGFb,-0.07694562411457387,-0.0011118226128558177,1,P1
PROGENy_TGFb,2.2738910239989534,0.09605739707271095,1,P1
PROGENy_TGFb,0.3054639985040121,0.014694654055745786,1,P1
PROGENy_TGFb,1.941775604610503,0.08232977538814293,1,P1
PROGENy_TGFb,1.5907809271099054,0.06782180055548531,1,P1
PROGENy_TGFb,-0.4477769346127848,-0.01643972262028634,1,P1
PROGENy_TGFb,-0.2222403527777876,-0.007117418714124709,1,P1
PROGENy_TGFb,0.7388010268671514,0.03260615843045346,1,P1
PROGENy_TGFb,-0.2606292990942073,-0.008704183137382703,1,P1
PROGENy_TGFb,1.6483387232543862,0.07020088807850322,1,P1
PROGENy_TGFb,1.2284312793538958,0.052844480649380514,1,P1
PROGENy_TGFb,-0.9164314625093571,-0.03581103657966377,1,P1
PROGENy_TGFb,-1.4754332279753515,-0.058916753174975994,1,P1
PROGENy_TGFb,-0.19107815587251342,-0.005829363944601121,1,P1
PROGENy_TGFb,1.3329382470070026,0.05716415998852392,1,P1
PROGENy_TGFb,0.8922874077862716,0.03895034737196954,1,P1
PROGENy_TGFb,1.881282691471697,0.07982936806680842,1,P1
PROGENy_TGFb,0.040789397511277393,0.003754623633091434,1,P1
PROGENy_TGFb,0.3381072448600497,0.016043926357998374,1,P1
PROGENy_TGFb,-0.43692277985143335,-0.015991078198585133,1,P1
PROGENy_TGFb,-0.7728767654999671,-0.0298773627526056,1,P1
PROGENy_TGFb,-2.344230473652927,-0.09482752157957967,1,P1
PROGENy_TGFb,-0.39899524827426147,-0.014423385840670391,1,P1
PROGENy_TGFb,0.10060853253043614,0.006227181084814687,1,P1
PROGENy_TGFb,-0.5841730423353009,-0.022077504116580826,1,P1
PROGENy_TGFb,0.016167858276283052,0.002736919677845613,1,P1
PROGENy_TGFb,1.57914887260438,0.0673410025125635,1,P1
PROGENy_TGFb,-2.6236033887893235,-0.10637509047887767,1,P1
PROGENy_TGFb,0.23362238090092782,0.011725160650475602,1,P1
PROGENy_NFkB,0.21623675864191397,-0.09182874934583088,1,P1
PROGENy_NFkB,-0.20487215338208528,0.04727654822274708,1,P1
PROGENy_NFkB,0.6000992200316269,-0.2186303923231223,1,P1
PROGENy_NFkB,0.03505693680191809,-0.03197945071821545,1,P1
PROGENy_NFkB,1.551624733006312,-0.5329486977473826,1,P1
PROGENy_NFkB,0.048436429148159404,-0.03639911083700757,1,P1
PROGENy_NFkB,-0.04855820803483887,-0.004358782355124746,1,P1
PROGENy_NFkB,0.4632596565273524,-0.1734280523656825,1,P1
PROGENy_NFkB,-0.06285847474458826,0.0003650380133607115,1,P1
PROGENy_NFkB,-0.10732259742912136,0.015052912908787373,1,P1
PROGENy_NFkB,0.6895146859792076,-0.24816708613966737,1,P1
PROGENy_NFkB,-0.5477921546272191,0.1605536303584557,1,P1
PROGENy_NFkB,-0.6103469467309837,0.1812174128657202,1,P1
PROGENy_NFkB,-0.16008616822793584,0.03248235219914256,1,P1
