fold,held_patient,feature,importance,method,role,ligand,receptor,ligand_receptor_pair
2,P10,CCC_Receiver_CCL5_to_CCR4,7.417865095104408e-05,shap_tree,Receiver,CCL5,CCR4,CCL5 → CCR4
2,P10,CCC_Sender_CCL5_to_CCR5,0.03549313507394718,shap_tree,Sender,CCL5,CCR5,CCL5 → CCR5
2,P10,CCC_Receiver_CCL5_to_CCR5,0.0014728236049081375,shap_tree,Receiver,CCL5,CCR5,CCL5 → CCR5
2,P10,CCC_Sender_CXCL13_to_CXCR5,0.0006816298658025178,shap_tree,Sender,CXCL13,CXCR5,CXCL13 → CXCR5
2,P10,CCC_Receiver_CXCL13_to_CXCR5,0.0002538516017498119,shap_tree,Receiver,CXCL13,CXCR5,CXCL13 → CXCR5
2,P10,CCC_Sender_CXCL16_to_CXCR6,0.00035261134188694076,shap_tree,Sender,CXCL16,CXCR6,CXCL16 → CXCR6
2,P10,CCC_Receiver_CXCL16_to_CXCR6,0.0007094947949044314,shap_tree,Receiver,CXCL16,CXCR6,CXCL16 → CXCR6
2,P10,CCC_Sender_CXCL2_to_DPP4,5.6838868807261763e-05,shap_tree,Sender,CXCL2,DPP4,CXCL2 → DPP4
2,P10,CCC_Receiver_CXCL2_to_DPP4,0.00012501644469898462,shap_tree,Receiver,CXCL2,DPP4,CXCL2 → DPP4
2,P10,CCC_Sender_CSF1_to_CSF1R,0.00023088505123090644,shap_tree,Sender,CSF1,CSF1R,CSF1 → CSF1R
2,P10,CCC_Receiver_CSF1_to_CSF1R,0.0009551068561996042,shap_tree,Receiver,CSF1,CSF1R,CSF1 → CSF1R
2,P10,CCC_Sender_LGALS9_to_HAVCR2,0.013242079589086972,shap_tree,Sender,LGALS9,HAVCR2,LGALS9 → HAVCR2
2,P10,CCC_Receiver_LGALS9_to_HAVCR2,0.0067583903622526025,shap_tree,Receiver,LGALS9,HAVCR2,LGALS9 → HAVCR2
2,P10,CCC_Sender_LGALS9_to_P4HB,0.005359776235980381,shap_tree,Sender,LGALS9,P4HB,LGALS9 → P4HB
2,P10,CCC_Receiver_LGALS9_to_P4HB,0.032462976972908425,shap_tree,Receiver,LGALS9,P4HB,LGALS9 → P4HB
2,P10,CCC_Sender_HLA-B_to_KIR3DL2,0.09063051584265844,shap_tree,Sender,HLA-B,KIR3DL2,HLA-B → KIR3DL2
2,P10,CCC_Receiver_HLA-B_to_KIR3DL2,7.549459465088626e-05,shap_tree,Receiver,HLA-B,KIR3DL2,HLA-B → KIR3DL2
2,P10,CCC_Sender_HLA-C_to_KIR2DL3,0.01582269253595215,shap_tree,Sender,HLA-C,KIR2DL3,HLA-C → KIR2DL3
2,P10,CCC_Receiver_HLA-C_to_KIR2DL3,1.6827930834116837e-05,shap_tree,Receiver,HLA-C,KIR2DL3,HLA-C → KIR2DL3
2,P10,CCC_Sender_HLA-E_to_KLRC1,0.02865674174507581,shap_tree,Sender,HLA-E,KLRC1,HLA-E → KLRC1
2,P10,CCC_Receiver_HLA-E_to_KLRC1,0.00014618472677754748,shap_tree,Receiver,HLA-E,KLRC1,HLA-E → KLRC1
2,P10,CCC_Sender_HLA-E_to_KLRC2,0.04881434299966919,shap_tree,Sender,HLA-E,KLRC2,HLA-E → KLRC2
2,P10,CCC_Receiver_HLA-E_to_KLRC2,0.00014271908674544625,shap_tree,Receiver,HLA-E,KLRC2,HLA-E → KLRC2
2,P10,CCC_Sender_HLA-E_to_KLRK1,0.026474737321005137,shap_tree,Sender,HLA-E,KLRK1,HLA-E → KLRK1
2,P10,CCC_Receiver_HLA-E_to_KLRK1,0.0013083998640822142,shap_tree,Receiver,HLA-E,KLRK1,HLA-E → KLRK1
2,P10,CCC_Sender_HLA-F_to_KIR3DL2,0.029458753695272056,shap_tree,Sender,HLA-F,KIR3DL2,HLA-F → KIR3DL2
2,P10,CCC_Receiver_HLA-F_to_KIR3DL2,0.00013227659815011502,shap_tree,Receiver,HLA-F,KIR3DL2,HLA-F → KIR3DL2
2,P10,CCC_Sender_HLA-F_to_LILRB1,0.0032195900676171576,shap_tree,Sender,HLA-F,LILRB1,HLA-F → LILRB1
2,P10,CCC_Receiver_HLA-F_to_LILRB1,0.00018218664773574547,shap_tree,Receiver,HLA-F,LILRB1,HLA-F → LILRB1
2,P10,CCC_Sender_HLA-F_to_LILRB2,0.014900753853720673,shap_tree,Sender,HLA-F,LILRB2,HLA-F → LILRB2
2,P10,CCC_Receiver_HLA-F_to_LILRB2,0.000304738628603477,shap_tree,Receiver,HLA-F,LILRB2,HLA-F → LILRB2
2,P10,CCC_Sender_HLA-G_to_LILRB1,0.00595668732478417,shap_tree,Sender,HLA-G,LILRB1,HLA-G → LILRB1
2,P10,CCC_Receiver_HLA-G_to_LILRB1,0.0002555663020583098,shap_tree,Receiver,HLA-G,LILRB1,HLA-G → LILRB1
2,P10,CCC_Sender_HLA-G_to_LILRB2,0.008324951201195523,shap_tree,Sender,HLA-G,LILRB2,HLA-G → LILRB2
2,P10,CCC_Receiver_HLA-G_to_LILRB2,9.566926547008322e-05,shap_tree,Receiver,HLA-G,LILRB2,HLA-G → LILRB2
2,P10,CCC_Sender_LTB_to_LTBR,0.004015830401537489,shap_tree,Sender,LTB,LTBR,LTB → LTBR
2,P10,CCC_Receiver_LTB_to_LTBR,0.0001872159983185845,shap_tree,Receiver,LTB,LTBR,LTB → LTBR
2,P10,CCC_Sender_PVR_to_CD226,1.3090524358782213e-05,shap_tree,Sender,PVR,CD226,PVR → CD226
2,P10,CCC_Receiver_PVR_to_CD226,0.00010005926731642042,shap_tree,Receiver,PVR,CD226,PVR → CD226
2,P10,CCC_Sender_PVR_to_CD96,1.0679853958834944e-05,shap_tree,Sender,PVR,CD96,PVR → CD96
2,P10,CCC_Receiver_PVR_to_CD96,0.002923927875957788,shap_tree,Receiver,PVR,CD96,PVR → CD96
2,P10,CCC_Sender_PVR_to_TIGIT,1.1830471829094579e-05,shap_tree,Sender,PVR,TIGIT,PVR → TIGIT
2,P10,CCC_Receiver_PVR_to_TIGIT,0.0022260267334625414,shap_tree,Receiver,PVR,TIGIT,PVR → TIGIT
2,P10,CCC_Sender_SELPLG_to_SELL,0.0023261114681251286,shap_tree,Sender,SELPLG,SELL,SELPLG → SELL
2,P10,CCC_Receiver_SELPLG_to_SELL,0.0022110233670362494,shap_tree,Receiver,SELPLG,SELL,SELPLG → SELL
2,P10,CCC_Sender_TGFB1_to_TGFBR3,0.00015997112012876503,shap_tree,Sender,TGFB1,TGFBR3,TGFB1 → TGFBR3
2,P10,CCC_Receiver_TGFB1_to_TGFBR3,0.00019543925730647677,shap_tree,Receiver,TGFB1,TGFBR3,TGFB1 → TGFBR3
2,P10,CCC_Sender_BTLA_to_TNFRSF14,0.00020368049490436635,shap_tree,Sender,BTLA,TNFRSF14,BTLA → TNFRSF14
2,P10,CCC_Receiver_BTLA_to_TNFRSF14,0.0017512698544855016,shap_tree,Receiver,BTLA,TNFRSF14,BTLA → TNFRSF14
2,P10,CCC_Sender_FASLG_to_FAS,0.00027218838835867966,shap_tree,Sender,FASLG,FAS,FASLG → FAS
2,P10,CCC_Receiver_FASLG_to_FAS,0.0013379891561320582,shap_tree,Receiver,FASLG,FAS,FASLG → FAS
2,P10,CCC_Sender_LTA_to_TNFRSF14,0.00012714662105449287,shap_tree,Sender,LTA,TNFRSF14,LTA → TNFRSF14
2,P10,CCC_Receiver_LTA_to_TNFRSF14,0.003190751233981971,shap_tree,Receiver,LTA,TNFRSF14,LTA → TNFRSF14
2,P10,CCC_Sender_LTA_to_TNFRSF1A,0.00017640444502077906,shap_tree,Sender,LTA,TNFRSF1A,LTA → TNFRSF1A
2,P10,CCC_Receiver_LTA_to_TNFRSF1A,0.0003957064590752693,shap_tree,Receiver,LTA,TNFRSF1A,LTA → TNFRSF1A
2,P10,CCC_Sender_LTA_to_TNFRSF1B,0.00017059464769025154,shap_tree,Sender,LTA,TNFRSF1B,LTA → TNFRSF1B
2,P10,CCC_Receiver_LTA_to_TNFRSF1B,0.004133399731749879,shap_tree,Receiver,LTA,TNFRSF1B,LTA → TNFRSF1B
2,P10,CCC_Sender_TNF_to_TNFRSF1A,0.002100497088289151,shap_tree,Sender,TNF,TNFRSF1A,TNF → TNFRSF1A
2,P10,CCC_Receiver_TNF_to_TNFRSF1A,0.0004093170954890913,shap_tree,Receiver,TNF,TNFRSF1A,TNF → TNFRSF1A
2,P10,CCC_Sender_TNF_to_TNFRSF1B,0.00043263402268069737,shap_tree,Sender,TNF,TNFRSF1B,TNF → TNFRSF1B
2,P10,CCC_Receiver_TNF_to_TNFRSF1B,0.0029827218336968544,shap_tree,Receiver,TNF,TNFRSF1B,TNF → TNFRSF1B
2,P10,CCC_Sender_TNFSF10_to_TNFRSF10A,0.0002640833152074804,shap_tree,Sender,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A
2,P10,CCC_Receiver_TNFSF10_to_TNFRSF10A,0.00011731649019615095,shap_tree,Receiver,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A
2,P10,CCC_Sender_TNFSF10_to_TNFRSF10B,0.0006271075049089921,shap_tree,Sender,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B
2,P10,CCC_Receiver_TNFSF10_to_TNFRSF10B,0.0003469014642125491,shap_tree,Receiver,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B
2,P10,CCC_Sender_TNFSF10_to_TNFRSF10D,0.00047715262017441215,shap_tree,Sender,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D
2,P10,CCC_Receiver_TNFSF10_to_TNFRSF10D,7.951462359486686e-05,shap_tree,Receiver,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D
2,P10,CCC_Sender_TNFSF12_to_TNFRSF12A,6.0529926142301666e-05,shap_tree,Sender,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A
2,P10,CCC_Receiver_TNFSF12_to_TNFRSF12A,2.753564470774206e-05,shap_tree,Receiver,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A
