fold,held_patient,feature,importance,method
10,P18,PROGENy_TNFa,0.09669346576736972,shap_linear_training_background
10,P18,PROGENy_Trail,0.15766054604237842,shap_linear_training_background
10,P18,PROGENy_VEGF,0.049791660688699,shap_linear_training_background
10,P18,PROGENy_WNT,0.07198494685939598,shap_linear_training_background
10,P18,PROGENy_p53,0.08393907695547519,shap_linear_training_background
11,P19,PROGENy_Androgen,0.08802925270385059,shap_linear_training_background
11,P19,PROGENy_EGFR,0.22321394609259015,shap_linear_training_background
11,P19,PROGENy_Estrogen,0.10773023905186463,shap_linear_training_background
11,P19,PROGENy_Hypoxia,0.0859545113575976,shap_linear_training_background
11,P19,PROGENy_JAK-STAT,0.4298287683214911,shap_linear_training_background
11,P19,PROGENy_MAPK,0.17358287273680706,shap_linear_training_background
11,P19,PROGENy_NFkB,0.24163945834868897,shap_linear_training_background
11,P19,PROGENy_PI3K,0.1389492181028392,shap_linear_training_background
11,P19,PROGENy_TGFb,0.10333674863311434,shap_linear_training_background
11,P19,PROGENy_TNFa,0.23817388161698835,shap_linear_training_background
11,P19,PROGENy_Trail,0.05672476976105513,shap_linear_training_background
11,P19,PROGENy_VEGF,0.054329686587169496,shap_linear_training_background
11,P19,PROGENy_WNT,0.0995925259748005,shap_linear_training_background
11,P19,PROGENy_p53,0.147028358479838,shap_linear_training_background
12,P2,PROGENy_Androgen,0.08106586619382206,shap_linear_training_background
12,P2,PROGENy_EGFR,0.18494454147017442,shap_linear_training_background
12,P2,PROGENy_Estrogen,0.09750331378660516,shap_linear_training_background
12,P2,PROGENy_Hypoxia,0.08981780177108444,shap_linear_training_background
12,P2,PROGENy_JAK-STAT,0.35711015035796834,shap_linear_training_background
12,P2,PROGENy_MAPK,0.17496349521077328,shap_linear_training_background
12,P2,PROGENy_NFkB,0.23615302277294684,shap_linear_training_background
12,P2,PROGENy_PI3K,0.17535457432075569,shap_linear_training_background
12,P2,PROGENy_TGFb,0.09649833219202872,shap_linear_training_background
12,P2,PROGENy_TNFa,0.2192754784344982,shap_linear_training_background
12,P2,PROGENy_Trail,0.05597434793906533,shap_linear_training_background
12,P2,PROGENy_VEGF,0.06169932029846446,shap_linear_training_background
12,P2,PROGENy_WNT,0.08304268766295106,shap_linear_training_background
12,P2,PROGENy_p53,0.19681118848446075,shap_linear_training_background
13,P20,PROGENy_Androgen,0.08784593946580577,shap_linear_training_background
13,P20,PROGENy_EGFR,0.2063895924355647,shap_linear_training_background
13,P20,PROGENy_Estrogen,0.09125119548049397,shap_linear_training_background
13,P20,PROGENy_Hypoxia,0.07820092510232016,shap_linear_training_background
13,P20,PROGENy_JAK-STAT,0.3374338705201572,shap_linear_training_background
13,P20,PROGENy_MAPK,0.15718017586385377,shap_linear_training_background
13,P20,PROGENy_NFkB,0.19954600855342275,shap_linear_training_background
13,P20,PROGENy_PI3K,0.18274402848506868,shap_linear_training_background
13,P20,PROGENy_TGFb,0.09915728600513138,shap_linear_training_background
13,P20,PROGENy_TNFa,0.19499535815527164,shap_linear_training_background
13,P20,PROGENy_Trail,0.04343113505183983,shap_linear_training_background
13,P20,PROGENy_VEGF,0.06750776684783998,shap_linear_training_background
13,P20,PROGENy_WNT,0.0858200152684153,shap_linear_training_background
13,P20,PROGENy_p53,0.2069389265749262,shap_linear_training_background
