feature,feature_value_scaled,shap_value,fold,held_patient
CCC_Receiver_LGALS9_to_P4HB,0.5247740373335331,0.0026831581017918507,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007234780899976158,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.29482032530139674,0.00909181626832277,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2315919204856748,0.009285464247154691,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.28244954190590515,0.010433508784235218,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2884867305205541,0.009533756048215832,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.21234855057969476,0.005894392391947077,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.37660480699757737,0.009703925922020773,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.28244954190590515,0.007241860643415404,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.25074768290149607,-0.03924888349382713,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.32564435679802134,0.008545951763247817,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.224719284868797,0.008951348664888172,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2611443420297503,0.008294999233495935,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2632061228935358,0.007613680443011718,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3123737970302356,0.008974749915118246,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2500020040705579,0.009154148528595639,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3687737128731169,0.012016896203836317,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.30971964579156697,0.008998761998448158,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2791973239511873,0.006765306107143967,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.21372303841795884,0.007700378483410724,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.293794983891502,0.009250999173819,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.24327545996203434,0.008252743438933664,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3827901986953231,0.010761298016639017,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.4172185392668611,-0.04192803833828996,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.29246788371897303,0.008388013957007693,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2957855604907115,0.00783186180937518,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3147509882328982,0.009288230283623612,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2693915145912816,0.007700584677726055,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.26526318954394246,0.00793798948339038,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.253319631735907,0.007483236089781437,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.2701894917268911,-0.03960714999662454,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.31171022239077645,0.00756123443682164,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2769513941272914,0.009070644838167656,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.17568670240923415,0.009779604542649917,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.32730002613024106,-0.03358927326055113,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.31131467042445926,0.008934519790391275,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.23365370134946029,0.007620594786944107,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.24396275298755574,0.009855999881331552,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.27261976693645484,-0.041478953153547625,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.2580384103174086,-0.041049447715633194,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2604570490042289,0.0076846628681513235,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.14746290164422232,0.00887073384058347,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.24469375069961002,0.007594248638577893,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2226575040050115,0.009311772704185511,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.28981378158669374,0.007046368181558152,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.22128301616674745,0.0066551968329874095,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2413761721406503,0.007179493035650419,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2095994766903879,0.00697896529526488,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.21097396452865197,0.008502009750004615,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2878232049874843,0.008387754454164207,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.15353844234896358,0.009125639794641906,1,P1
