feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
CCC_Sender_TNFSF10_to_TNFRSF10B,0.00020973873416720842,0.00022558101317695205,0.00020973873416720842,32,1.0,3.987746603108868e-05,1.07553339669302,Cell-to-cell communication
CCC_Receiver_VEGFB_to_NRP1,0.00016116461131910262,0.00012820141430532699,0.00016116461131910262,32,1.0,2.2663022353250693e-05,0.7954687648611073,Cell-to-cell communication
CCC_Sender_TNF_to_TNFRSF1B,0.00015746083995641478,0.00023583626474076852,0.00015746083995641478,32,1.0,4.1690355511975824e-05,1.4977455017136203,Cell-to-cell communication
CCC_Receiver_TGFB1_to_TGFBR3,0.00015255213571506798,0.00022055681837585112,0.00015255213571506798,32,1.0,3.898930547762351e-05,1.445779944948133,Cell-to-cell communication
CCC_Sender_TNFSF10_to_TNFRSF10D,0.0001522024263650601,0.0002468918055414645,0.0001522024263650601,32,1.0,4.3644717479439986e-05,1.6221279215962714,Cell-to-cell communication
CCC_Sender_TNFSF9_to_TNFRSF9,0.0001516861222977976,0.00013330876646172696,0.0001516861222977976,32,1.0,2.356588318917523e-05,0.8788461623404723,Cell-to-cell communication
CCC_Sender_CSF1_to_CSF1R,0.00015034914340940315,0.00011694459805525904,0.00015034914340940315,32,1.0,2.06730795770022e-05,0.7778201817672948,Cell-to-cell communication
CCC_Receiver_LTA_to_TNFRSF1A,0.00014528060870240013,0.0003035786907308118,0.00014528060870240013,32,1.0,5.3665637709872676e-05,2.0896022768783764,Cell-to-cell communication
CCC_Receiver_LTB_to_LTBR,0.00014370761484977884,0.00013026294357384993,0.00014370761484977884,32,1.0,2.302745268459747e-05,0.9064442667844501,Cell-to-cell communication
CCC_Receiver_CCL2_to_CCR2,0.00014058671782663434,0.00024126360454843518,0.00014058671782663434,32,1.0,4.264978270742702e-05,1.7161194761367953,Cell-to-cell communication
CCC_Receiver_CCL3_to_CCR1,0.00013063516771573844,0.0001561409937480795,0.00013063516771573844,32,1.0,2.7602088875118332e-05,1.1952447145614082,Cell-to-cell communication
CCC_Sender_CXCL2_to_DPP4,0.00012060549154612073,0.00016582572378959342,0.00012060549154612073,32,1.0,2.9314123446697225e-05,1.3749433932382757,Cell-to-cell communication
CCC_Receiver_CCL5_to_CCR1,0.0001056173710009471,0.0001254827958632008,0.0001056173710009471,32,1.0,2.2182433969279134e-05,1.1880886133974644,Cell-to-cell communication
CCC_Sender_CD86_to_CD28,0.00010299376585773009,0.00012248351024292964,0.00010299376585773009,32,1.0,2.1652230169076875e-05,1.1892322726806748,Cell-to-cell communication
CCC_Receiver_CXCL13_to_CXCR5,9.657697703867469e-05,0.00011424711142130287,9.657697703867469e-05,32,1.0,2.019622680424458e-05,1.1829642521897543,Cell-to-cell communication
CCC_Receiver_HLA-F_to_LILRB1,8.946123994341287e-05,9.48522627638653e-05,8.946123994341287e-05,32,1.0,1.676766955280435e-05,1.0602609892715822,Cell-to-cell communication
CCC_Sender_VEGFA_to_NRP1,8.838685326528234e-05,0.00018988684660954625,8.838685326528234e-05,32,1.0,3.356756922393498e-05,2.1483607526972825,Cell-to-cell communication
CCC_Receiver_HLA-G_to_LILRB1,8.770254621761444e-05,8.269607505264889e-05,8.770254621761444e-05,32,1.0,1.4618738861809927e-05,0.9429153270813472,Cell-to-cell communication
CCC_Sender_TNFSF10_to_TNFRSF10A,8.643924731736543e-05,7.835018452531965e-05,8.643924731736543e-05,32,1.0,1.3850486696267704e-05,0.9064190973071938,Cell-to-cell communication
CCC_Sender_TGFB1_to_TGFBR3,7.327074099242076e-05,0.00010707005469510777,7.327074099242076e-05,32,1.0,1.892749043423131e-05,1.4612934610035302,Cell-to-cell communication
CCC_Sender_TNFSF14_to_LTBR,7.108532756061419e-05,0.00011412981074616994,7.108532756061419e-05,32,1.0,2.0175490778538515e-05,1.605532599520652,Cell-to-cell communication
CCC_Receiver_CD40LG_to_CD40,6.279943540875733e-05,8.85191322351559e-05,6.279943540875733e-05,32,1.0,1.5648119667056863e-05,1.4095529945291831,Cell-to-cell communication
CCC_Sender_TNFSF12_to_TNFRSF25,6.153417214127594e-05,7.099309283270808e-05,6.153417214127594e-05,32,1.0,1.254992433985349e-05,1.153718175808321,Cell-to-cell communication
CCC_Sender_BTLA_to_TNFRSF14,6.129326189005e-05,0.0002256255099421443,6.129326189005e-05,32,1.0,3.9885332022190755e-05,3.6810817859046114,Cell-to-cell communication
CCC_Sender_VEGFA_to_NRP2,5.9984850407892225e-05,9.208698087639101e-05,5.9984850407892225e-05,32,1.0,1.6278832159173e-05,1.53517063475539,Cell-to-cell communication
CCC_Receiver_HLA-E_to_KLRC1,5.446550550509047e-05,5.651292653144788e-05,5.446550550509047e-05,32,1.0,9.990168393770988e-06,1.037591150717697,Cell-to-cell communication
CCC_Sender_FASLG_to_FAS,5.0154292621860155e-05,8.284433255313849e-05,5.0154292621860155e-05,32,1.0,1.4644947332799417e-05,1.65178947249333,Cell-to-cell communication
CCC_Sender_VEGFB_to_NRP1,4.940705552020949e-05,0.0001672072793000196,4.940705552020949e-05,32,1.0,2.9558350264199224e-05,3.384279381547541,Cell-to-cell communication
CCC_Sender_TNFSF14_to_TNFRSF14,4.756280292412658e-05,6.989666677002454e-05,4.756280292412658e-05,32,1.0,1.235610176385519e-05,1.4695657630086585,Cell-to-cell communication
CCC_Receiver_PVR_to_CD226,4.4716714803361456e-05,9.721480525409613e-05,4.4716714803361456e-05,32,1.0,1.7185312006725244e-05,2.174014922196124,Cell-to-cell communication
CCC_Sender_LTA_to_TNFRSF1A,4.428987073236705e-05,7.037710943275276e-05,4.428987073236705e-05,32,1.0,1.2441032830051803e-05,1.5890113985209975,Cell-to-cell communication
CCC_Receiver_TNFSF10_to_TNFRSF10B,4.085569853540473e-05,7.975065435276684e-05,4.085569853540473e-05,32,1.0,1.4098057124226469e-05,1.9520080970750386,Cell-to-cell communication
CCC_Sender_LTA_to_TNFRSF14,3.931966808309282e-05,5.9172198871145756e-05,3.931966808309282e-05,32,1.0,1.0460265769876533e-05,1.5049007724607264,Cell-to-cell communication
CCC_Receiver_VEGFA_to_NRP2,3.919565361891822e-05,0.0001417614446706207,3.919565361891822e-05,32,1.0,2.5060119709349364e-05,3.616764400688498,Cell-to-cell communication
CCC_Receiver_CXCL2_to_DPP4,3.754188743927201e-05,8.557887194251198e-05,3.754188743927201e-05,32,1.0,1.5128350169211347e-05,2.279556990333661,Cell-to-cell communication
CCC_Sender_CCL2_to_CCR2,3.5538116493094276e-05,8.055512815067867e-05,3.5538116493094276e-05,32,1.0,1.4240269343674059e-05,2.2667247479570856,Cell-to-cell communication
CCC_Sender_LTA_to_TNFRSF1B,3.155638208557356e-05,3.963949061109816e-05,3.155638208557356e-05,32,1.0,7.007338153471997e-06,1.25614813838941,Cell-to-cell communication
CCC_Receiver_HLA-E_to_KLRC2,3.0939851946014064e-05,3.8001464487646483e-05,3.0939851946014064e-05,32,1.0,6.717773308558649e-06,1.228236791628932,Cell-to-cell communication
CCC_Sender_CD274_to_PDCD1,2.9028191511294403e-05,5.380155770853157e-05,2.9028191511294403e-05,32,1.0,9.51086157352551e-06,1.853424374976934,Cell-to-cell communication
CCC_Receiver_TNFSF10_to_TNFRSF10A,2.7592986320223757e-05,3.596860511827631e-05,2.7592986320223757e-05,32,1.0,6.358411147238585e-06,1.3035415848379486,Cell-to-cell communication
CCC_Receiver_CCL5_to_CCR4,2.4554569431731686e-05,3.749885023739363e-05,2.4554569431731686e-05,32,1.0,6.628922822389953e-06,1.5271638275576582,Cell-to-cell communication
CCC_Sender_ICOSLG_to_ICOS,2.392955051144411e-05,4.953988618026932e-05,2.392955051144411e-05,32,1.0,8.75749736431954e-06,2.070238893813625,Cell-to-cell communication
CCC_Sender_CD40LG_to_CD40,2.138611211896157e-05,3.1838863211579353e-05,2.138611211896157e-05,32,1.0,5.628369020544664e-06,1.4887635038324736,Cell-to-cell communication
CCC_Receiver_HLA-F_to_KIR3DL2,1.983913998040756e-05,2.874205112072156e-05,1.983913998040756e-05,32,1.0,5.0809248131681556e-06,1.4487548930601934,Cell-to-cell communication
